Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/21/2016,Q (Aug 17),0.00,0.00,0.00,0.00,19.7250,19.72,0,0,0
11/22/2016,Q (Aug 17),19.98,20.10,19.90,19.90,19.7750,0.05,14,0,11
11/23/2016,Q (Aug 17),20.00,20.05,19.86,19.88,19.8000,0.02,45,0,36
11/25/2016,Q (Aug 17),20.00,20.00,19.95,19.95,19.8750,0.08,10,0,45
11/28/2016,Q (Aug 17),20.00,20.05,19.90,19.95,19.9500,0.08,29,0,67
11/29/2016,Q (Aug 17),19.90,19.95,19.88,19.88,19.9250,-0.02,159,0,153
11/30/2016,Q (Aug 17),19.94,19.94,19.80,19.82,19.8250,-0.10,302,0,451
12/01/2016,Q (Aug 17),19.90,20.15,19.86,20.00,20.1000,0.28,119,0,554
12/02/2016,Q (Aug 17),20.00,20.15,19.93,19.98,20.0250,-0.08,140,0,660
12/05/2016,Q (Aug 17),20.00,20.00,19.80,19.80,19.8750,-0.15,134,0,760
12/06/2016,Q (Aug 17),19.83,19.83,19.64,19.64,19.6250,-0.25,40,0,780
12/07/2016,Q (Aug 17),19.55,19.76,19.55,19.76,19.6750,0.05,32,0,805
12/08/2016,Q (Aug 17),19.80,19.89,19.67,19.74,19.7000,0.02,165,0,916
12/09/2016,Q (Aug 17),19.80,19.85,19.65,19.67,19.6500,-0.05,167,0,1062
12/12/2016,Q (Aug 17),19.80,19.85,19.75,19.84,19.8000,0.15,40,0,1079
12/13/2016,Q (Aug 17),19.80,19.90,19.75,19.75,19.7750,-0.02,104,0,1135
12/14/2016,Q (Aug 17),19.83,19.85,19.65,19.80,19.7000,-0.08,60,0,1168
12/15/2016,Q (Aug 17),19.60,19.70,19.60,19.70,19.6500,-0.05,29,0,1168
12/16/2016,Q (Aug 17),19.75,19.75,19.63,19.67,19.6500,0.00,17,0,1167
12/19/2016,Q (Aug 17),19.61,19.61,19.47,19.47,19.5000,-0.15,35,0,1176
12/20/2016,Q (Aug 17),19.52,19.53,19.40,19.45,19.4500,-0.05,33,0,1196
12/21/2016,Q (Aug 17),19.42,19.46,19.31,19.46,19.4000,-0.05,48,0,1218
12/22/2016,Q (Aug 17),19.50,19.59,19.45,19.53,19.5250,0.12,223,0,1372
12/23/2016,Q (Aug 17),19.60,19.70,19.55,19.62,19.6250,0.10,121,0,1427
12/27/2016,Q (Aug 17),19.50,19.50,19.44,19.44,19.4500,-0.18,30,0,1445
12/28/2016,Q (Aug 17),19.55,19.65,19.45,19.55,19.5500,0.10,304,0,1638
12/29/2016,Q (Aug 17),19.55,19.75,19.55,19.70,19.6750,0.12,177,0,1775
12/30/2016,Q (Aug 17),19.70,19.87,19.55,19.80,19.7500,0.08,316,0,1987
01/03/2017,Q (Aug 17),19.71,19.71,19.30,19.30,19.3000,-0.45,153,0,2064
01/04/2017,Q (Aug 17),19.25,19.28,18.90,19.05,19.0250,-0.28,271,0,2154
01/05/2017,Q (Aug 17),18.96,19.15,18.95,18.95,18.9750,-0.05,242,0,2313
01/06/2017,Q (Aug 17),18.96,18.96,18.70,18.86,18.8500,-0.12,133,0,2406
01/09/2017,Q (Aug 17),18.85,18.85,18.65,18.76,18.7750,-0.08,50,0,2418
01/10/2017,Q (Aug 17),18.80,18.90,18.68,18.80,18.7500,-0.02,493,0,2476
01/11/2017,Q (Aug 17),18.75,18.95,18.65,18.66,18.6750,-0.08,146,0,2514
01/12/2017,Q (Aug 17),18.70,19.00,18.68,18.85,18.8250,0.15,761,0,2890
01/13/2017,Q (Aug 17),18.80,19.00,18.75,18.95,18.9750,0.15,343,0,3102
01/17/2017,Q (Aug 17),19.00,19.20,18.94,19.05,19.0500,0.08,554,0,3278
01/18/2017,Q (Aug 17),19.05,19.13,18.87,19.04,19.0250,-0.02,1830,0,4162
01/19/2017,Q (Aug 17),19.00,19.20,18.90,18.90,18.9250,-0.10,1893,0,4615
01/20/2017,Q (Aug 17),18.85,18.93,18.60,18.80,18.8250,-0.10,2670,0,5375
01/23/2017,Q (Aug 17),18.83,18.90,18.63,18.63,18.6250,-0.20,1439,0,5974
01/24/2017,Q (Aug 17),18.63,18.65,18.05,18.16,18.1750,-0.45,2096,0,6373
01/25/2017,Q (Aug 17),18.05,18.14,17.85,17.92,17.9250,-0.25,1555,0,6798
01/26/2017,Q (Aug 17),17.90,18.00,17.83,17.94,17.9250,0.00,1291,0,7076
01/27/2017,Q (Aug 17),17.95,18.10,17.90,18.00,18.0250,0.10,1582,0,7713
01/30/2017,Q (Aug 17),18.09,18.39,18.05,18.05,18.0750,0.05,2302,0,7980
01/31/2017,Q (Aug 17),18.10,18.20,17.95,17.96,17.9750,-0.10,1060,0,8449
02/01/2017,Q (Aug 17),17.95,17.97,17.65,17.80,17.7750,-0.20,1979,0,9354
02/02/2017,Q (Aug 17),17.80,17.91,17.70,17.87,17.8750,0.10,1399,0,9953
02/03/2017,Q (Aug 17),17.90,17.90,17.56,17.70,17.6750,-0.20,3244,0,11371
02/06/2017,Q (Aug 17),17.60,17.75,17.55,17.70,17.7250,0.05,1572,0,11567
02/07/2017,Q (Aug 17),17.75,17.79,17.62,17.77,17.7750,0.05,2177,0,11999
02/08/2017,Q (Aug 17),17.80,17.95,17.73,17.90,17.8750,0.10,3612,0,12942
02/09/2017,Q (Aug 17),17.85,17.90,17.65,17.70,17.7000,-0.18,2582,0,13885
02/10/2017,Q (Aug 17),17.65,17.70,17.58,17.65,17.6250,-0.08,2388,0,15056
02/13/2017,Q (Aug 17),17.66,17.67,17.40,17.40,17.4250,-0.20,2829,0,15966
02/14/2017,Q (Aug 17),17.40,17.41,16.90,16.90,16.8750,-0.55,3764,0,16469
02/15/2017,Q (Aug 17),16.91,17.07,16.60,16.60,16.6000,-0.28,8827,0,18083
02/16/2017,Q (Aug 17),16.64,17.15,16.60,16.80,16.7750,0.18,4538,0,19051
02/17/2017,Q (Aug 17),16.75,17.03,16.75,16.85,16.8750,0.10,1602,0,19107
02/21/2017,Q (Aug 17),16.90,17.03,16.73,17.00,17.0250,0.15,3119,0,19920
02/22/2017,Q (Aug 17),17.00,17.20,16.95,17.08,17.0750,0.05,2462,0,20477
02/23/2017,Q (Aug 17),17.05,17.45,17.05,17.42,17.4250,0.35,5939,0,21716
02/24/2017,Q (Aug 17),17.40,17.85,17.40,17.55,17.5250,0.10,7828,0,23919
02/27/2017,Q (Aug 17),17.50,17.55,17.13,17.22,17.2250,-0.30,3109,0,24830
02/28/2017,Q (Aug 17),17.18,17.43,17.15,17.22,17.2250,0.00,5729,0,24217
03/01/2017,Q (Aug 17),17.23,17.25,16.92,17.15,17.1750,-0.05,3299,0,23891
03/02/2017,Q (Aug 17),17.15,17.37,17.15,17.25,17.2750,0.10,3366,0,23744
03/03/2017,Q (Aug 17),17.26,17.35,16.95,16.97,16.9750,-0.30,2554,0,23637
03/06/2017,Q (Aug 17),16.95,17.10,16.83,16.90,16.8750,-0.10,2214,0,23458
03/07/2017,Q (Aug 17),16.90,16.95,16.74,16.95,16.9250,0.05,1707,0,23408
03/08/2017,Q (Aug 17),16.95,17.05,16.64,16.88,16.8750,-0.05,2591,0,23116
03/09/2017,Q (Aug 17),16.90,17.04,16.72,16.85,16.8750,0.00,2357,0,23175
03/10/2017,Q (Aug 17),16.83,16.93,16.68,16.80,16.7250,-0.15,1841,0,23333
03/13/2017,Q (Aug 17),16.75,16.81,16.64,16.70,16.6750,-0.05,2211,0,22999
03/14/2017,Q (Aug 17),16.65,16.89,16.63,16.85,16.8250,0.15,4012,0,23691
03/15/2017,Q (Aug 17),16.83,16.85,16.58,16.60,16.6250,-0.20,3059,0,23783
03/16/2017,Q (Aug 17),16.59,16.61,16.35,16.35,16.3750,-0.25,2354,0,24075
