Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
12/27/2016,U (Sep 17),0.00,19.60,0.00,0.00,19.4500,19.45,0,0,0
12/28/2016,U (Sep 17),19.69,19.95,19.69,19.85,19.7750,0.32,7,0,7
12/29/2016,U (Sep 17),19.92,20.00,19.82,19.95,19.9250,0.15,14,0,18
12/30/2016,U (Sep 17),19.75,20.10,19.75,20.05,20.0000,0.08,16,0,33
01/03/2017,U (Sep 17),19.90,19.90,19.70,19.70,19.7000,-0.30,63,0,84
01/04/2017,U (Sep 17),19.60,19.65,19.35,19.35,19.2250,-0.48,67,0,120
01/05/2017,U (Sep 17),19.40,19.50,19.35,19.43,19.4000,0.18,36,0,152
01/06/2017,U (Sep 17),19.30,19.35,19.19,19.29,19.3000,-0.10,33,0,167
01/09/2017,U (Sep 17),19.20,19.20,19.15,19.20,19.1250,-0.18,1,0,168
01/10/2017,U (Sep 17),19.25,19.25,19.15,19.17,19.1750,0.05,12,0,175
01/11/2017,U (Sep 17),19.20,19.35,19.15,19.15,19.1500,-0.02,22,0,178
01/12/2017,U (Sep 17),19.20,19.35,19.20,19.35,19.3250,0.18,206,0,363
01/13/2017,U (Sep 17),19.32,19.40,19.25,19.40,19.4000,0.08,7,0,367
01/17/2017,U (Sep 17),19.50,19.65,19.47,19.55,19.5500,0.15,134,0,469
01/18/2017,U (Sep 17),19.50,19.60,19.43,19.54,19.5500,0.00,838,0,897
01/19/2017,U (Sep 17),19.50,19.73,19.45,19.47,19.4500,-0.10,331,0,1057
01/20/2017,U (Sep 17),19.40,19.42,19.19,19.34,19.3500,-0.10,364,0,1179
01/23/2017,U (Sep 17),19.40,19.45,19.22,19.22,19.2250,-0.12,355,0,1363
01/24/2017,U (Sep 17),19.20,19.25,18.74,18.75,18.7500,-0.48,329,0,1517
01/25/2017,U (Sep 17),18.65,18.70,18.40,18.50,18.5250,-0.22,399,0,1695
01/26/2017,U (Sep 17),18.50,18.59,18.48,18.56,18.5750,0.05,412,0,1935
01/27/2017,U (Sep 17),18.50,18.68,18.50,18.65,18.6500,0.08,329,0,2106
01/30/2017,U (Sep 17),18.70,19.00,18.65,18.72,18.7250,0.08,376,0,2310
01/31/2017,U (Sep 17),18.70,18.80,18.63,18.65,18.6250,-0.10,236,0,2475
02/01/2017,U (Sep 17),18.60,18.60,18.30,18.45,18.4250,-0.20,398,0,2713
02/02/2017,U (Sep 17),18.40,18.60,18.35,18.50,18.5000,0.08,558,0,3028
02/03/2017,U (Sep 17),18.55,18.55,18.20,18.35,18.3250,-0.18,652,0,3516
02/06/2017,U (Sep 17),18.25,18.37,18.24,18.35,18.3750,0.05,225,0,3589
02/07/2017,U (Sep 17),18.35,18.42,18.25,18.40,18.4250,0.05,319,0,3772
02/08/2017,U (Sep 17),18.42,18.55,18.39,18.50,18.5250,0.10,443,0,3926
02/09/2017,U (Sep 17),18.50,18.55,18.28,18.35,18.3250,-0.20,490,0,4065
02/10/2017,U (Sep 17),18.35,18.35,18.25,18.25,18.3000,-0.02,320,0,4239
02/13/2017,U (Sep 17),18.24,18.29,18.05,18.05,18.0750,-0.22,558,0,4509
02/14/2017,U (Sep 17),18.05,18.10,17.60,17.60,17.5750,-0.50,840,0,4810
02/15/2017,U (Sep 17),17.60,17.75,17.28,17.30,17.3000,-0.28,3044,0,5968
02/16/2017,U (Sep 17),17.25,17.80,17.25,17.45,17.4750,0.18,2031,0,6537
02/17/2017,U (Sep 17),17.45,17.70,17.40,17.55,17.5750,0.10,887,0,6793
02/21/2017,U (Sep 17),17.60,17.70,17.43,17.70,17.6750,0.10,1626,0,7253
02/22/2017,U (Sep 17),17.70,17.86,17.60,17.80,17.7750,0.10,1624,0,7791
02/23/2017,U (Sep 17),17.80,18.02,17.75,17.98,17.9750,0.20,3799,0,8414
02/24/2017,U (Sep 17),17.97,18.35,17.95,18.05,18.0750,0.10,3436,0,9141
02/27/2017,U (Sep 17),18.05,18.05,17.68,17.75,17.7750,-0.30,1331,0,9303
02/28/2017,U (Sep 17),17.75,17.98,17.70,17.75,17.7750,0.00,2861,0,9694
03/01/2017,U (Sep 17),17.80,17.80,17.50,17.70,17.7250,-0.05,2488,0,10054
03/02/2017,U (Sep 17),17.70,17.89,17.70,17.85,17.8250,0.10,2215,0,10485
03/03/2017,U (Sep 17),17.75,17.85,17.55,17.60,17.5750,-0.25,1587,0,10786
03/06/2017,U (Sep 17),17.60,17.70,17.42,17.46,17.4250,-0.15,1977,0,11385
03/07/2017,U (Sep 17),17.40,17.55,17.33,17.55,17.5250,0.10,1142,0,11505
03/08/2017,U (Sep 17),17.55,17.65,17.25,17.50,17.5000,-0.02,1726,0,11673
