Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
01/23/2017,V (Oct 17),0.00,19.70,19.65,0.00,19.5500,19.55,0,0,0
01/24/2017,V (Oct 17),19.48,19.48,19.01,19.01,19.0500,-0.50,40,0,34
01/25/2017,V (Oct 17),0.00,18.80,18.85,0.00,18.8000,-0.25,0,0,34
01/26/2017,V (Oct 17),18.75,18.80,18.75,18.75,18.8000,0.00,3,0,37
01/27/2017,V (Oct 17),18.90,18.90,18.80,18.80,18.9250,0.12,3,0,39
01/30/2017,V (Oct 17),19.05,19.25,19.04,19.04,19.0250,0.10,13,0,44
01/31/2017,V (Oct 17),19.09,19.09,19.04,19.05,19.0250,0.00,31,0,74
02/01/2017,V (Oct 17),18.90,18.90,18.70,18.75,18.6750,-0.35,33,0,104
02/02/2017,V (Oct 17),18.80,18.81,18.75,18.80,18.7750,0.10,12,0,114
02/03/2017,V (Oct 17),18.78,18.78,18.45,18.65,18.6500,-0.12,25,0,134
02/06/2017,V (Oct 17),18.60,18.62,18.60,18.62,18.6250,-0.02,4,0,136
02/07/2017,V (Oct 17),18.60,18.67,18.55,18.65,18.6500,0.02,30,0,162
02/08/2017,V (Oct 17),18.70,18.76,18.65,18.73,18.7500,0.10,17,0,177
02/09/2017,V (Oct 17),18.81,18.81,18.59,18.60,18.6000,-0.15,14,0,183
02/10/2017,V (Oct 17),18.85,18.85,18.50,18.55,18.5500,-0.05,54,0,232
02/13/2017,V (Oct 17),18.51,18.51,18.40,18.41,18.4000,-0.15,10,0,241
02/14/2017,V (Oct 17),18.35,18.35,17.90,18.00,17.8500,-0.55,145,0,368
02/15/2017,V (Oct 17),18.00,18.06,17.59,17.65,17.6750,-0.18,217,0,476
02/16/2017,V (Oct 17),17.67,18.04,17.60,17.80,17.7500,0.08,187,0,584
02/17/2017,V (Oct 17),17.80,17.96,17.79,17.84,17.8250,0.08,96,0,631
02/21/2017,V (Oct 17),17.75,17.91,17.72,17.89,17.9500,0.12,154,0,739
02/22/2017,V (Oct 17),17.95,18.15,17.90,18.05,18.0000,0.05,122,0,794
02/23/2017,V (Oct 17),18.06,18.20,18.00,18.10,18.1500,0.15,725,0,1200
02/24/2017,V (Oct 17),18.15,18.47,18.08,18.20,18.2250,0.08,444,0,1442
02/27/2017,V (Oct 17),18.20,18.20,17.91,17.95,17.9750,-0.25,143,0,1524
02/28/2017,V (Oct 17),17.99,18.13,17.90,17.90,17.9500,-0.02,376,0,1690
03/01/2017,V (Oct 17),17.90,17.95,17.70,17.90,17.9000,-0.05,208,0,1759
03/02/2017,V (Oct 17),17.90,18.05,17.85,18.05,18.0250,0.12,217,0,1855
03/03/2017,V (Oct 17),17.95,18.00,17.83,17.83,17.8500,-0.18,162,0,1929
03/06/2017,V (Oct 17),17.90,17.91,17.70,17.72,17.7000,-0.15,309,0,2065
03/07/2017,V (Oct 17),17.65,17.75,17.61,17.75,17.7500,0.05,111,0,2108
03/08/2017,V (Oct 17),17.80,17.85,17.50,17.78,17.7500,0.00,281,0,2210
03/09/2017,V (Oct 17),17.73,17.85,17.60,17.77,17.7500,0.00,180,0,2304
03/10/2017,V (Oct 17),17.70,17.80,17.65,17.67,17.6750,-0.08,78,0,2335
03/13/2017,V (Oct 17),17.71,17.73,17.60,17.60,17.6000,-0.08,157,0,2367
03/14/2017,V (Oct 17),17.70,17.77,17.58,17.77,17.7250,0.12,252,0,2528
03/15/2017,V (Oct 17),17.70,17.70,17.55,17.55,17.5500,-0.18,232,0,2632
03/16/2017,V (Oct 17),17.55,17.55,17.36,17.39,17.3750,-0.18,178,0,2646
