Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
02/21/2017,X (Nov 17),0.00,17.95,18.40,0.00,18.2000,18.20,0,0,0
02/22/2017,X (Nov 17),18.30,18.35,18.24,18.24,18.2000,0.00,9,0,7
02/23/2017,X (Nov 17),18.40,18.50,18.30,18.35,18.3500,0.15,16,0,20
02/24/2017,X (Nov 17),18.50,18.55,18.40,18.50,18.4500,0.10,9,0,24
02/27/2017,X (Nov 17),18.40,18.40,18.20,18.30,18.1750,-0.28,3,0,25
02/28/2017,X (Nov 17),18.27,18.27,18.15,18.25,18.2000,0.02,10,0,32
03/01/2017,X (Nov 17),18.00,18.10,17.95,18.10,18.0750,-0.12,13,0,41
03/02/2017,X (Nov 17),18.12,18.20,18.12,18.20,18.2250,0.15,10,0,45
03/03/2017,X (Nov 17),18.13,18.13,18.05,18.05,18.0250,-0.20,4,0,45
03/06/2017,X (Nov 17),18.05,18.06,17.98,17.98,17.9500,-0.08,3,0,47
03/07/2017,X (Nov 17),17.85,17.95,17.85,17.95,17.9750,0.02,4,0,48
03/08/2017,X (Nov 17),17.85,17.95,17.65,17.95,17.9250,-0.05,32,0,69
