Year,Month,Day,Days_to_expire,Source,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2004,5,19,54,CFE_K04_VX.csv,3/26/2004,K (May 04),212.4,212.5,202.7,202.7,203.2,0.0,216.0,0.0,144.0
2004,5,19,51,CFE_K04_VX.csv,3/29/2004,K (May 04),199.0,199.9,197.5,197.7,198.0,0.0,52.0,0.0,113.0
2004,5,19,50,CFE_K04_VX.csv,3/30/2004,K (May 04),198.6,200.4,196.1,196.1,196.2,-1.8,93.0,0.0,159.0
2004,5,19,49,CFE_K04_VX.csv,3/31/2004,K (May 04),196.7,198.1,196.7,197.2,197.5,1.3,562.0,0.0,684.0
2004,5,19,48,CFE_K04_VX.csv,4/1/2004,K (May 04),198.7,199.9,196.4,196.5,196.2,-1.3,84.0,0.0,708.0
2004,5,19,47,CFE_K04_VX.csv,4/2/2004,K (May 04),194.7,194.7,188.4,189.8,188.9,-7.3,89.0,0.0,804.0
2004,5,19,44,CFE_K04_VX.csv,4/5/2004,K (May 04),187.3,188.0,185.5,186.2,185.3,-3.6,84.0,0.0,839.0
2004,5,19,43,CFE_K04_VX.csv,4/6/2004,K (May 04),185.7,188.9,185.7,187.6,187.9,2.6,304.0,0.0,1126.0
2004,5,19,42,CFE_K04_VX.csv,4/7/2004,K (May 04),189.7,192.5,188.9,191.3,190.9,3.0,226.0,0.0,1325.0
2004,5,19,41,CFE_K04_VX.csv,4/8/2004,K (May 04),189.5,191.5,189.5,190.1,190.5,-0.4,98.0,0.0,1485.0
2004,5,19,37,CFE_K04_VX.csv,4/12/2004,K (May 04),187.8,187.8,187.0,187.0,186.7,-3.8,5.0,0.0,1486.0
2004,5,19,36,CFE_K04_VX.csv,4/13/2004,K (May 04),190.0,193.1,188.9,193.1,193.0,6.3,25.0,0.0,1464.0
2004,5,19,35,CFE_K04_VX.csv,4/14/2004,K (May 04),193.8,195.0,193.8,194.3,194.6,1.6,308.0,0.0,1589.0
2004,5,19,34,CFE_K04_VX.csv,4/15/2004,K (May 04),193.3,194.4,192.6,192.6,193.5,-1.1,142.0,0.0,1667.0
2004,5,19,33,CFE_K04_VX.csv,4/16/2004,K (May 04),191.8,191.9,190.0,190.1,190.0,-3.5,61.0,0.0,1718.0
2004,5,19,30,CFE_K04_VX.csv,4/19/2004,K (May 04),191.0,191.4,188.5,188.5,188.7,-1.3,11.0,0.0,1723.0
2004,5,19,29,CFE_K04_VX.csv,4/20/2004,K (May 04),188.7,191.1,186.5,191.1,191.5,2.8,125.0,0.0,1836.0
2004,5,19,28,CFE_K04_VX.csv,4/21/2004,K (May 04),190.9,191.0,186.4,186.6,186.8,-4.7,11.0,0.0,1817.0
2004,5,19,27,CFE_K04_VX.csv,4/22/2004,K (May 04),185.5,185.5,171.4,172.7,173.5,-13.3,95.0,0.0,1884.0
2004,5,19,26,CFE_K04_VX.csv,4/23/2004,K (May 04),172.3,175.0,172.3,173.0,173.4,-0.1,601.0,0.0,1461.0
2004,5,19,23,CFE_K04_VX.csv,4/26/2004,K (May 04),173.0,173.9,172.3,172.3,171.3,-2.1,246.0,0.0,1282.0
2004,5,19,22,CFE_K04_VX.csv,4/27/2004,K (May 04),171.2,171.2,165.0,167.4,168.0,-3.3,87.0,0.0,1290.0
2004,5,19,21,CFE_K04_VX.csv,4/28/2004,K (May 04),170.5,175.1,170.0,175.0,173.7,5.7,335.0,0.0,1108.0
2004,5,19,20,CFE_K04_VX.csv,4/29/2004,K (May 04),172.3,179.1,172.3,178.0,177.7,4.0,274.0,0.0,1115.0
2004,5,19,19,CFE_K04_VX.csv,4/30/2004,K (May 04),175.4,182.8,175.4,182.8,182.2,4.5,131.0,0.0,1018.0
2004,5,19,16,CFE_K04_VX.csv,5/3/2004,K (May 04),180.0,180.0,178.0,178.0,176.9,-5.3,42.0,0.0,934.0
2004,5,19,15,CFE_K04_VX.csv,5/4/2004,K (May 04),176.0,176.8,168.5,168.5,173.1,-3.8,36.0,0.0,930.0
2004,5,19,14,CFE_K04_VX.csv,5/5/2004,K (May 04),170.4,170.5,166.0,166.0,166.2,-6.9,237.0,0.0,996.0
2004,5,19,13,CFE_K04_VX.csv,5/6/2004,K (May 04),168.5,176.5,168.5,175.0,174.8,8.6,41.0,0.0,1034.0
2004,5,19,12,CFE_K04_VX.csv,5/7/2004,K (May 04),175.4,181.4,171.2,181.4,183.1,8.3,136.0,0.0,1083.0
2004,5,19,9,CFE_K04_VX.csv,5/10/2004,K (May 04),187.9,195.8,186.0,194.2,193.5,10.4,219.0,0.0,1198.0
2004,5,19,8,CFE_K04_VX.csv,5/11/2004,K (May 04),189.0,189.0,183.3,184.3,183.8,-9.7,85.0,0.0,1109.0
2004,5,19,7,CFE_K04_VX.csv,5/12/2004,K (May 04),183.1,194.0,183.1,184.9,182.0,-1.8,162.0,0.0,1166.0
2004,5,19,6,CFE_K04_VX.csv,5/13/2004,K (May 04),183.1,194.0,183.1,184.9,183.8,1.8,99.0,0.0,1222.0
2004,5,19,5,CFE_K04_VX.csv,5/14/2004,K (May 04),184.5,187.3,181.7,182.0,185.5,1.7,38.0,0.0,1228.0
2004,5,19,2,CFE_K04_VX.csv,5/17/2004,K (May 04),191.7,195.0,189.0,194.4,193.7,8.2,207.0,0.0,1195.0
2004,5,19,1,CFE_K04_VX.csv,5/18/2004,K (May 04),192.0,192.0,189.5,192.0,192.5,-1.2,41.0,0.0,1241.0
2004,5,19,0,CFE_K04_VX.csv,5/19/2004,K (May 04),0.0,0.0,0.0,0.0,183.55,-8.95,0.0,0.0,1111.0
2004,6,16,82,CFE_M04_VX.csv,3/26/2004,M (Jun 04),203.3,203.7,201.0,202.0,201.6,0.0,26.0,0.0,26.0
2004,6,16,79,CFE_M04_VX.csv,3/29/2004,M (Jun 04),198.5,198.5,197.3,197.6,197.7,0.0,32.0,0.0,45.0
2004,6,16,78,CFE_M04_VX.csv,3/30/2004,M (Jun 04),198.5,198.8,197.3,197.3,197.9,0.2,29.0,0.0,44.0
2004,6,16,77,CFE_M04_VX.csv,3/31/2004,M (Jun 04),199.8,199.8,199.0,199.0,198.5,0.6,3.0,0.0,41.0
2004,6,16,76,CFE_M04_VX.csv,4/1/2004,M (Jun 04),199.4,199.4,199.4,199.4,196.1,-2.4,1.0,0.0,41.0
2004,6,16,75,CFE_M04_VX.csv,4/2/2004,M (Jun 04),195.1,195.1,192.0,192.5,191.6,-4.5,50.0,0.0,88.0
2004,6,16,72,CFE_M04_VX.csv,4/5/2004,M (Jun 04),190.0,190.0,186.3,186.3,186.2,-5.4,48.0,0.0,134.0
2004,6,16,71,CFE_M04_VX.csv,4/6/2004,M (Jun 04),188.2,188.6,187.0,187.0,187.9,1.7,18.0,0.0,181.0
2004,6,16,70,CFE_M04_VX.csv,4/7/2004,M (Jun 04),189.5,192.2,189.5,192.2,191.2,3.3,10.0,0.0,188.0
2004,6,16,69,CFE_M04_VX.csv,4/8/2004,M (Jun 04),192.5,192.5,190.2,190.2,190.0,-1.2,25.0,0.0,209.0
2004,6,16,65,CFE_M04_VX.csv,4/12/2004,M (Jun 04),187.5,190.2,187.5,190.2,189.0,-1.0,2.0,0.0,209.0
2004,6,16,64,CFE_M04_VX.csv,4/13/2004,M (Jun 04),188.5,193.1,188.5,193.0,192.9,3.9,57.0,0.0,222.0
2004,6,16,63,CFE_M04_VX.csv,4/14/2004,M (Jun 04),193.0,196.0,193.0,195.8,194.7,1.8,10.0,0.0,163.0
2004,6,16,62,CFE_M04_VX.csv,4/15/2004,M (Jun 04),195.7,195.7,194.9,195.0,194.7,0.0,29.0,0.0,190.0
2004,6,16,61,CFE_M04_VX.csv,4/16/2004,M (Jun 04),195.1,195.6,193.6,193.6,194.3,-0.4,319.0,0.0,432.0
2004,6,16,58,CFE_M04_VX.csv,4/19/2004,M (Jun 04),195.8,196.3,195.8,196.3,196.8,2.5,111.0,0.0,540.0
2004,6,16,57,CFE_M04_VX.csv,4/20/2004,M (Jun 04),196.8,197.6,196.8,197.6,199.6,2.8,6.0,0.0,546.0
2004,6,16,56,CFE_M04_VX.csv,4/21/2004,M (Jun 04),197.7,197.7,196.9,197.1,197.0,-2.6,14.0,0.0,558.0
2004,6,16,55,CFE_M04_VX.csv,4/22/2004,M (Jun 04),196.1,196.1,186.4,186.4,187.7,-9.3,111.0,0.0,625.0
2004,6,16,54,CFE_M04_VX.csv,4/23/2004,M (Jun 04),189.0,191.9,189.0,191.8,190.9,3.2,564.0,0.0,1169.0
2004,6,16,51,CFE_M04_VX.csv,4/26/2004,M (Jun 04),191.3,191.4,189.9,190.0,189.6,-1.3,35.0,0.0,1187.0
2004,6,16,50,CFE_M04_VX.csv,4/27/2004,M (Jun 04),189.5,189.5,187.6,187.6,187.7,-1.9,109.0,0.0,1200.0
2004,6,16,49,CFE_M04_VX.csv,4/28/2004,M (Jun 04),189.8,194.0,189.8,192.1,192.7,5.0,354.0,0.0,1487.0
2004,6,16,48,CFE_M04_VX.csv,4/29/2004,M (Jun 04),193.4,197.1,191.4,197.0,196.4,3.7,865.0,0.0,1707.0
2004,6,16,47,CFE_M04_VX.csv,4/30/2004,M (Jun 04),194.7,197.7,193.5,197.2,198.5,2.1,43.0,0.0,1699.0
2004,6,16,44,CFE_M04_VX.csv,5/3/2004,M (Jun 04),195.6,195.6,193.3,193.3,192.7,-5.8,34.0,0.0,1710.0
2004,6,16,43,CFE_M04_VX.csv,5/4/2004,M (Jun 04),191.5,192.1,189.7,190.2,192.0,-0.7,67.0,0.0,1759.0
2004,6,16,42,CFE_M04_VX.csv,5/5/2004,M (Jun 04),190.9,192.3,188.3,188.3,187.9,-4.1,116.0,0.0,1837.0
2004,6,16,41,CFE_M04_VX.csv,5/6/2004,M (Jun 04),190.0,198.5,190.0,194.8,194.1,6.2,219.0,0.0,1888.0
2004,6,16,40,CFE_M04_VX.csv,5/7/2004,M (Jun 04),195.1,198.5,192.5,198.5,198.7,4.6,141.0,0.0,1868.0
2004,6,16,37,CFE_M04_VX.csv,5/10/2004,M (Jun 04),202.2,206.7,202.2,206.4,204.3,5.6,447.0,0.0,1857.0
2004,6,16,36,CFE_M04_VX.csv,5/11/2004,M (Jun 04),202.0,202.5,198.7,199.0,199.7,-4.6,96.0,0.0,1843.0
2004,6,16,35,CFE_M04_VX.csv,5/12/2004,M (Jun 04),198.0,207.9,195.7,196.0,196.1,-3.6,175.0,0.0,1491.0
2004,6,16,34,CFE_M04_VX.csv,5/13/2004,M (Jun 04),198.0,207.9,195.7,196.0,195.8,-0.3,122.0,0.0,1551.0
2004,6,16,33,CFE_M04_VX.csv,5/14/2004,M (Jun 04),193.3,198.2,193.2,197.5,196.7,0.9,37.0,0.0,1580.0
2004,6,16,30,CFE_M04_VX.csv,5/17/2004,M (Jun 04),198.7,202.9,198.2,202.8,202.1,5.4,119.0,0.0,1631.0
2004,6,16,29,CFE_M04_VX.csv,5/18/2004,M (Jun 04),199.6,200.9,199.6,200.9,200.7,-1.4,42.0,0.0,1676.0
2004,6,16,28,CFE_M04_VX.csv,5/19/2004,M (Jun 04),196.0,196.4,187.4,191.7,191.7,-9.0,399.0,0.0,1868.0
2004,6,16,27,CFE_M04_VX.csv,5/20/2004,M (Jun 04),190.6,193.1,189.9,192.8,193.4,1.7,84.0,0.0,1819.0
2004,6,16,26,CFE_M04_VX.csv,5/21/2004,M (Jun 04),193.2,193.3,191.0,191.0,191.7,-1.7,84.0,0.0,1875.0
2004,6,16,23,CFE_M04_VX.csv,5/24/2004,M (Jun 04),186.1,190.0,186.0,188.0,187.7,-4.0,817.0,0.0,1241.0
2004,6,16,22,CFE_M04_VX.csv,5/25/2004,M (Jun 04),189.0,189.0,174.4,175.2,175.0,-12.7,398.0,0.0,1262.0
2004,6,16,21,CFE_M04_VX.csv,5/26/2004,M (Jun 04),176.0,177.5,175.3,175.9,176.1,1.1,246.0,0.0,1423.0
2004,6,16,20,CFE_M04_VX.csv,5/27/2004,M (Jun 04),174.6,176.0,172.9,174.0,173.5,-2.6,324.0,0.0,1574.0
2004,6,16,19,CFE_M04_VX.csv,5/28/2004,M (Jun 04),175.5,176.5,175.5,175.7,175.8,2.3,42.0,0.0,1609.0
2004,6,16,15,CFE_M04_VX.csv,6/1/2004,M (Jun 04),176.0,176.2,175.5,176.2,176.0,0.2,64.0,0.0,1671.0
2004,6,16,14,CFE_M04_VX.csv,6/2/2004,M (Jun 04),176.4,176.5,176.0,176.1,176.5,0.5,110.0,0.0,1776.0
2004,6,16,13,CFE_M04_VX.csv,6/3/2004,M (Jun 04),176.0,177.0,174.3,176.0,176.0,-0.5,289.0,0.0,1763.0
2004,6,16,12,CFE_M04_VX.csv,6/4/2004,M (Jun 04),174.6,174.6,170.2,171.9,172.8,-3.2,152.0,0.0,1822.0
2004,6,16,9,CFE_M04_VX.csv,6/7/2004,M (Jun 04),171.0,171.6,165.6,166.4,165.8,-7.0,339.0,0.0,2143.0
2004,6,16,8,CFE_M04_VX.csv,6/8/2004,M (Jun 04),168.5,168.6,161.5,162.1,161.8,-4.0,462.0,0.0,2452.0
2004,6,16,7,CFE_M04_VX.csv,6/9/2004,M (Jun 04),162.7,162.9,158.6,162.9,162.0,0.2,133.0,0.0,2495.0
2004,6,16,6,CFE_M04_VX.csv,6/10/2004,M (Jun 04),161.4,161.4,156.1,158.0,157.1,-4.9,616.0,0.0,2418.0
2004,6,16,2,CFE_M04_VX.csv,6/14/2004,M (Jun 04),161.4,161.4,156.1,158.0,157.1,0.0,0.0,0.0,2430.0
2004,6,16,1,CFE_M04_VX.csv,6/15/2004,M (Jun 04),156.6,156.6,148.0,150.2,150.3,-12.6,490.0,0.0,2541.0
2004,6,16,0,CFE_M04_VX.csv,6/16/2004,M (Jun 04),0.0,0.0,0.0,0.0,139.97,-10.33,0.0,0.0,2541.0
2004,7,21,61,CFE_N04_VX.csv,5/21/2004,N (Jul 04),0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0
